MES,BASURA,COD_DISTRITO,DISTRITO,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
ENERO,Basura,1,CENTRO ,46.05,Mueble,2.62,Envase,8.26,Papel_y_Carton,890,Bolsas_caninas
ENERO,Basura,6,TETUÁN,23.92,Mueble,240,Envase,4.28,Papel_y_Carton,451.8,Bolsas_caninas
ENERO,Basura,7,CHAMBERÍ,16.26,Mueble,420,Envase,3.4,Papel_y_Carton,405,Bolsas_caninas
ENERO,Basura,2,ARGANZUELA,23.76,Mueble,0,Envase,0,Papel_y_Carton,350.1,Bolsas_caninas
ENERO,Basura,3,RETIRO,6.62,Mueble,0,Envase,0,Papel_y_Carton,300.5,Bolsas_caninas
ENERO,Basura,4,SALAMANCA,1.1,Mueble,0,Envase,0,Papel_y_Carton,379.6,Bolsas_caninas
ENERO,Basura,5,CHAMARTÍN,81.01,Mueble,0,Envase,0,Papel_y_Carton,310.2,Bolsas_caninas
ENERO,Basura,8,FUENCARRAL,23.269,Mueble,0,Envase,0,Papel_y_Carton,431.8,Bolsas_caninas
ENERO,Basura,9,MONCLOA,4.94,Mueble,0,Envase,0,Papel_y_Carton,266.44,Bolsas_caninas
ENERO,Basura,10,LATINA,60.1,Mueble,0,Envase,0,Papel_y_Carton,403,Bolsas_caninas
ENERO,Basura,15,CIUDAD LINEAL,15.815,Mueble,21,Envase,8.633,Papel_y_Carton,577,Bolsas_caninas
ENERO,Basura,16,HORTALEZA,32.188,Mueble,49,Envase,12.59,Papel_y_Carton,450.01,Bolsas_caninas
ENERO,Basura,20,SAN BLAS,24.99,Mueble,40,Envase,5.396,Papel_y_Carton,421.8,Bolsas_caninas
ENERO,Basura,21,BARAJAS,28.386,Mueble,30,Envase,9.352,Papel_y_Carton,240,Bolsas_caninas
ENERO,Basura,13,PUENTE DE VALLECAS,10.157,Mueble,0,Envase,2.31,Papel_y_Carton,590,Bolsas_caninas
ENERO,Basura,18,VILLA DE VALLECAS,4.353,Mueble,0,Envase,1.5,Papel_y_Carton,264.1,Bolsas_caninas
ENERO,Basura,14,MORATALAZ,11.608,Mueble,0,Envase,1.75,Papel_y_Carton,281.9,Bolsas_caninas
ENERO,Basura,19,VICÁLVARO,2.902,Mueble,0,Envase,550,Papel_y_Carton,177.6,Bolsas_caninas
ENERO,Basura,11,CARABANCHEL,14.832,Mueble,660,Envase,23.78,Papel_y_Carton,488.3,Bolsas_caninas
ENERO,Basura,12,USERA,9.27,Mueble,360,Envase,17.84,Papel_y_Carton,264.2,Bolsas_caninas
ENERO,Basura,17,VILLAVERDE,12.978,Mueble,180,Envase,20.84,Papel_y_Carton,244.2,Bolsas_caninas
FEBRERO,Basura,1,CENTRO ,41.368,Mueble,1.4,Envase,7.28,Papel_y_Carton,895.9,Bolsas_caninas
FEBRERO,Basura,6,TETUÁN,87.88,Mueble,160,Envase,5.8,Papel_y_Carton,453.5,Bolsas_caninas
FEBRERO,Basura,7,CHAMBERÍ,19.186,Mueble,360,Envase,6.44,Papel_y_Carton,408.15,Bolsas_caninas
FEBRERO,Basura,2,ARGANZUELA,14.58,Mueble,180,Envase,3.02,Papel_y_Carton,350.3,Bolsas_caninas
FEBRERO,Basura,3,RETIRO,10.02,Mueble,150,Envase,2.06,Papel_y_Carton,310.5,Bolsas_caninas
FEBRERO,Basura,4,SALAMANCA,21.24,Mueble,280,Envase,2.87,Papel_y_Carton,379.8,Bolsas_caninas
FEBRERO,Basura,5,CHAMARTÍN,20.695,Mueble,170,Envase,1.05,Papel_y_Carton,312.2,Bolsas_caninas
FEBRERO,Basura,8,FUENCARRAL,79.78,Mueble,400,Envase,8.16,Papel_y_Carton,396.1,Bolsas_caninas
FEBRERO,Basura,9,MONCLOA,440,Mueble,1.04,Envase,0,Papel_y_Carton,241.17,Bolsas_caninas
FEBRERO,Basura,10,LATINA,59.88,Mueble,580,Envase,4.1,Papel_y_Carton,401.34,Bolsas_caninas
FEBRERO,Basura,15,CIUDAD LINEAL,18.09,Mueble,21,Envase,2.655,Papel_y_Carton,587.45,Bolsas_caninas
FEBRERO,Basura,16,HORTALEZA,42.21,Mueble,49,Envase,6.195,Papel_y_Carton,470.32,Bolsas_caninas
FEBRERO,Basura,20,SAN BLAS,36.18,Mueble,40,Envase,4.55,Papel_y_Carton,442.8,Bolsas_caninas
FEBRERO,Basura,21,BARAJAS,24.12,Mueble,30,Envase,4.3,Papel_y_Carton,350,Bolsas_caninas
FEBRERO,Basura,13,PUENTE DE VALLECAS ,12.16,Mueble,0,Envase,2.12,Papel_y_Carton,612.5,Bolsas_caninas
FEBRERO,Basura,18,VILLA DE VALLECAS ,4.56,Mueble,0,Envase,1.62,Papel_y_Carton,284.1,Bolsas_caninas
FEBRERO,Basura,14,MORATALAZ,10.64,Mueble,0,Envase,1.56,Papel_y_Carton,293.1,Bolsas_caninas
FEBRERO,Basura,19,VICÁLVARO,3.04,Mueble,0,Envase,1.28,Papel_y_Carton,197.6,Bolsas_caninas
FEBRERO,Basura,11,CARABANCHEL,20.628,Mueble,0,Envase,25.816,Papel_y_Carton,478.5,Bolsas_caninas
FEBRERO,Basura,12,USERA,12.892,Mueble,0,Envase,16.135,Papel_y_Carton,284.9,Bolsas_caninas
